YelpLeaf,YelpParent1,YelpParent2,YelpParent3,MatchLeaf,MatchParent1,MatchParent2,MatchParent3,Tradition,Self-Expression,Utilitarian,Charisma,Egalitarian,Neighborliness,Formality,Exhibitionism,Glamour,Transgression,Rationality,Locality,State,Corporateness,Ethnicity
Creperies,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Criminal Defense Law,Lawyers,Professional Services,-,Lawyers,-,-,-,3.0,2.0,3.0,2.5,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.5,4.0,3.0,3.0
Crisis Pregnancy Centers,Health & Medical,-,-,Pregnancy Counselling,Therapy & Counselling,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0
Cryotherapy,Health & Medical,-,-,Medical Technical Services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CSA,Food,-,-,Community Food Services,-,-,-,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0
Cuban,Restaurants,-,-,Cuban Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Cucina campana,Italian,Restaurants,-,Italian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Cultural Center,Arts & Entertainment,-,-,Arts & Cultural Organizations,Artists & Entertainers,-,-,3.5,3.5,2.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.5,3.0,2.0,3.0
Cupcakes,Food,-,-,Donuts,Desserts & Sweets,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0
Currency Exchange,Financial Services,-,-,"Money Transfer, Money Order & Services",Banks & Financial Services,-,-,3.0,3.0,4.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Curry Sausage,Restaurants,-,-,Sausages,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Custom Cakes,Food,-,-,Cake Making-Equipment-Supplies & Decorations,Desserts & Sweets,-,-,3.0,4.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Customized Merchandise,Shopping,-,-,Merchandising Service,-,-,-,2.5,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0
Customs Brokers,Professional Services,-,-,Customs Brokers,Consultants,-,-,3.0,2.5,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.5,3.5,2.5,3.0,3.0,3.0
Cycling Classes,Active Life,-,-,Exercise & Physical Fitness Programs,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.4,3.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Cypriot,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Czech,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Czech/Slovakian,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Damage Restoration,Home Services,-,-,Residential Building Construction,-,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0
Dance Schools,Specialty Schools,Education,-,dance studios/instruction,-,-,-,3.2,4.0,2.0,3.8,3.0,3.0,3.8,3.0,3.25,3.0,2.75,3.0,3.0,3.0,3.0
Dance Clubs,Nightlife,-,-,Night clubs,-,-,-,2.0,4.0,2.0,3.0,2.5,3.0,3.5,4.0,4.5,3.5,2.0,3.0,3.0,3.0,3.0
Dance Restaurants,Nightlife,-,-,Ballrooms & Dance Clubs,-,-,-,3.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Dance Studios,Fitness & Instruction,Active Life,-,dance studios/instruction,-,-,-,3.2,4.0,2.0,3.8,3.0,3.0,3.8,3.0,3.25,3.0,2.75,3.0,3.0,3.0,3.0
Dance Wear,Sports Wear,Sporting Goods,Shopping,Sportswear-Retail,Sporting Goods,-,-,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Danish,Restaurants,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Dart Arenas,Active Life,-,-,Darts & Dartboards,Games,-,-,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Data Recovery,IT Services & Computer Repair,Local Services,-,Computer-Data Recovery,Computer Services,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Day Camps,Active Life,-,-,"Recreational, vacation camps (exc campgrounds)",-,-,-,3.0,3.2,2.0,3.0,3.4,3.4,2.6,2.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Debt Relief Services,Financial Services,-,-,Financial Planning Consultants,-,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.5,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0
Decks & Railing,Home Services,-,-,Decks,-,-,-,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Delicatessen,Food,-,-,Delicatessens,-,-,-,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Delis,Restaurants,-,-,Delicatessens,Restaurants,-,-,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Demolition Services,Home Services,-,-,Building Contractors,-,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Storefront Clinics,Dental Hygienists,Health & Medical,-,Dentists,Dental Care,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Dental Hygienists,Health & Medical,-,-,Dentists,Dental Care,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mobile Clinics,Dental Hygienists,Health & Medical,-,Clinics-Dental,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Dentists,Health & Medical,-,-,Dentists,Dental Care,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Departments of Motor Vehicles,Public Services & Government,-,-,Government-Municipal,Government Agencies and Services,-,-,3.5,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0
Department Stores,Shopping,-,-,Department Stores,-,-,-,3.5,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.5,2.0,3.0,2.0,3.0,3.5,3.0
Dermatologists,Doctors,Health & Medical,-,Physicians & Surgeons,-,-,-,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
Desserts,Food,-,-,Dessert Restaurant,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Diagnostic Imaging,Diagnostic Services,Health & Medical,-,Health Service,"Medical Products, Equipment & Services",-,-,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Diagnostic Services,Health & Medical,-,-,Offices of Physicians,Ambulatory Health Care Services,Health Care and Social Assistance,-,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,4.0,2.5,2.0
Dialysis Clinics,Health & Medical,-,-,Clinics-Medical,-,-,-,3.0,2.5,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
Diamond Buyers,Shopping,-,-,Diamonds,-,-,-,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,5.0,2.5,3.0,3.0,3.0,4.0,3.0
Dietitians,Health & Medical,-,-,Dietitians,Diet & Nutrition,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Digitizing Services,Professional Services,-,-,Technologists Professionnals,-,-,-,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0
Dim Sum,Chinese,Restaurants,-,Dim Sum Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Diners,Restaurants,-,-,Diners Restaurant,-,-,-,3.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0
Dinner Theater,Restaurants,-,-,Dinner Theatres,Restaurants,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Disability Law,Lawyers,Professional Services,-,Offices of Lawyers,-,-,-,3.0,2.0,3.5,2.5,3.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0
Disc Golf,Active Life,-,-,Sports & recreation instruction,-,-,-,3.0,3.0,2.2,3.0,3.0,3.0,3.2,3.0,3.0,3.0,2.75,3.75,3.0,3.0,3.0
Discount Store,Shopping,-,-,Discount Stores,-,-,-,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
Distilleries,Food,-,-,Distillers,Food & Beverages,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0
Dive Bars,Bars,Nightlife,-,Drinking places (alcoholic beverages),-,-,-,3.0,3.0,2.0,3.2,3.0,3.6,3.0,3.0,3.0,3.0,2.25,3.0,3.0,3.0,3.0
Dive Shops,Sporting Goods,Shopping,-,Sporting Goods-Retail,-,-,-,3.0,3.0,2.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Diving,Active Life,-,-,Diving,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.2,3.0,3.0,3.0,2.75,3.0,3.0,3.0,3.0
Divorce & Family Law,Lawyers,Professional Services,-,Offices of Lawyers,-,-,-,3.0,2.0,3.5,2.5,3.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0
DIY Auto Shop,Auto Repair,Automotive,-,Automobile Body Shop Equipment & Supplies,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Do-It-Yourself Food,Food,-,-,Food Products,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
DJs,Event Planning & Services,-,-,Disc Jockeys,-,-,-,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0
Dog Parks,Parks,Active Life,-,Parks,Parks & Recreation Centres,-,-,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.5,3.0,3.0
Dog Walkers,Pet Services,Pets,-,Pet Care (except Veterinary) Services,-,-,-,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Dolmus Station,Transportation,Hotels & Travel,-,All Other Traveller Accommodation,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Dominican,Caribbean,Restaurants,-,Caribbean Restaurant,-,-,-,4.0,2.8,3.0,3.0,3.0,3.0,3.0,3.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Donairs,Food,-,-,Fast Food Restaurant,-,-,-,3.0,2.4,4.8,2.6,3.4,1.8,2.6,2.8,1.0,3.0,3.0,1.0,3.0,4.75,3.0
Donation Center,Local Services,-,-,Charitable & Non-Profit Organizations,Community Services & Organizations,-,-,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.5,3.0,3.0,3.0,3.0
Donburi,Japanese,Restaurants,-,Japanese Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Donuts,Food,-,-,Donuts,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0
Door Sales/Installation,Home Services,-,-,Homemakers Services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Doulas,Health & Medical,-,-,Midwifery,-,-,-,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Drama Schools,Specialty Schools,Education,-,Schools-Dramatic Art & Speech,Specialized Schools,-,-,3.0,4.5,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
Dried Fruit,Specialty Food,Food,-,Fruits-Dried,Foods,General,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Drive-In Theater,Cinema,Arts & Entertainment,-,Cinemas,Theatre,-,-,3.0,3.0,2.0,4.5,3.0,3.0,3.0,3.0,3.5,3.0,2.0,3.0,3.0,3.5,3.0
Drive-Thru Bars,Bars,Nightlife,-,Drinking Places (Alcoholic Beverages),-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Driving Schools,Specialty Schools,Education,-,Schools-Special Purpose,Specialized Schools,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Drones,Shopping,-,-,Toys-Retail,-,-,-,3.0,3.5,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0
Drugstores,Shopping,-,-,Pharmacies and Drug Stores,Health and Personal Care Stores,Retail Trade,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0
Dry Cleaning,Laundry Services,Local Services,-,Laundries-Self Service,-,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Drywall Installation & Repair,Home Services,-,-,Drywall and Insulation Contractors,Building Finishing Contractors,Specialty Trade Contractors,Construction,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
DUI Law,Lawyers,Professional Services,-,Lawyers,-,-,-,3.0,2.0,3.0,2.5,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.5,4.0,3.0,3.0
DUI Schools,Specialty Schools,Education,-,Schools-Special Purpose,Specialized Schools,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Dumplings,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Dumpster Rental,Junk Removal & Hauling,Local Services,-,Homemakers Services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Duplication Services,Professional Services,-,-,Copying & Duplicating Service,-,-,-,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Duty-Free Shops,Shopping,-,-,Duty Free Shops,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,4.0,4.0,3.0
Ear Nose & Throat,Doctors,Health & Medical,-,Audiologists,Physicians & Surgeons,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Eastern European,Restaurants,-,-,European Restaurant,-,-,-,3.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Eastern German,German,Restaurants,-,German Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Eastern Mexican,Mexican,Restaurants,-,Mexican Restaurant,-,-,-,3.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Eatertainment,Arts & Entertainment,-,-,Entertainment Bureaus,Artists & Entertainers,-,-,3.0,3.5,2.0,3.5,3.0,3.0,3.0,3.0,3.5,3.0,2.5,3.0,3.0,3.0,3.0
Editorial Services,Professional Services,-,-,Text Writing Service,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0
Educational Services,Education,-,-,All Other Schools and Instruction,Educational Services,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Egyptian,Middle Eastern,Restaurants,-,Middle Eastern Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Elder Care Planning,Local Services,-,-,Community Care Facilities for the Elderly,Nursing and Residential Care Facilities,Health Care and Social Assistance,-,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Elder Law,Lawyers,Professional Services,-,Legal Aid,-,-,-,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0
Electricians,Home Services,-,-,Electrical Contractors,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
Electricity Suppliers,Utilities,Home Services,-,Electric Companies,Electrical supplies & services,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Electronics,Shopping,-,-,Electronic Equipment & Supplies-Retail,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Electronics Repair,Local Services,-,-,Engineers-Electronics,-,-,-,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0
Elementary Schools,Education,-,-,Elementary and Secondary Schools,-,-,-,4.0,4.0,3.0,3.0,4.0,3.5,3.0,2.5,3.0,2.0,3.5,3.0,4.0,3.0,3.0
Elevator Services,Local Services,-,-,Building Contractors,-,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Parent Cafes,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Embassy,Public Services & Government,-,-,Embassies,Government Agencies and Services,-,-,3.5,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0
Embroidery & Crochet,Arts & Crafts,Shopping,-,Arts & Crafts-Retail,-,-,-,3.5,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.5,3.0,3.0,3.5,3.0,2.0,3.5
Emergency Medicine,Doctors,Health & Medical,-,Hospitals,-,-,-,3.0,2.0,3.0,3.0,4.0,2.5,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.5
Emergency Pet Hospital,Pet Services,Pets,-,Veterinarians,Pet Services,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Emergency Rooms,Health & Medical,-,-,Hospitals,Hospitals & Clinics,-,-,3.0,2.0,3.0,3.0,4.0,2.5,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.5
Emilian,Italian,Restaurants,-,Italian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Empanadas,Food,-,-,Fast Food Restaurant,-,-,-,3.0,2.4,4.8,2.6,3.4,1.8,2.6,2.8,1.0,3.0,3.0,1.0,3.0,4.75,3.0
Employment Agencies,Professional Services,-,-,Employment Agencies,Employment & Career Resources,-,-,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
Employment Law,Lawyers,Professional Services,-,Lawyers,-,-,-,3.0,2.0,3.0,2.5,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.5,4.0,3.0,3.0
EMS Training,Fitness & Instruction,Active Life,-,"Health, Fitness & Exercise Services",Fitness & Exercise,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Endocrinologists,Doctors,Health & Medical,-,Physicians & Surgeons,-,-,-,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
Endodontists,Dentists,Health & Medical,-,Dentists,Dental Care,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Engraving,Local Services,-,-,Engravers-General,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Entertainment Law,Lawyers,Professional Services,-,Offices of Lawyers,Legal Services,"Professional, Scientific and Technical Services",-,3.0,2.0,3.5,2.5,3.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0
Environmental Abatement,Local Services,-,-,Environmental Products & Services,Environment,-,-,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Environmental Testing,Local Services,-,-,Environmental consulting services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Eritrean,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Erotic Massage,Beauty & Spas,-,-,Massage Therapists Certified & Registered,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Escape Games,Active Life,-,-,Recreation Centres,-,-,-,3.0,3.0,2.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Estate Liquidation,Real Estate,Home Services,-,Real Estate-Service Agencies,-,-,-,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
Real Estate Photography,Real Estate Services,Real Estate,Home Services,Real Estate Management,Real Estate,-,-,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
Estate Planning Law,Lawyers,Professional Services,-,Legal Service Plans,-,-,-,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0
Estheticians,Skin Care,Beauty & Spas,-,Estheticians,"Barbers, Beauty Salons & Spas",-,-,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Ethical Grocery,Food,-,-,Farmers Markets,Foods,General,-,4.0,3.5,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.5,3.0,2.0,3.0
Ethiopian,Restaurants,-,-,Ethiopian Restaurant,-,-,-,4.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
EV Charging Stations,Automotive,-,-,Energy-Conservation & Renewable-Products & Services,-,-,-,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Event Photography,Photographers,Event Planning & Services,-,Photographic Services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Party & Event Planning,Event Planning & Services,-,-,Party Planning Service,-,-,-,2.5,3.5,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Event Planning & Services,-,-,-,Event Planning,-,-,-,3.0,3.0,3.5,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Excavation Services,Home Services,-,-,Landscaping Services,Services to Buildings and Dwellings,Administrative and Support Services,"Administrative and Support, Waste Management and Remediation Services",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Experiences,Active Life,-,-,Recreational Trips & Guides,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.8,3.0,2.5,3.0,3.25,3.0,3.0,3.0
Eyebrow Services,Beauty & Spas,-,-,Estheticians,"Barbers, Beauty Salons & Spas",-,-,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Eyelash Service,Beauty & Spas,-,-,Beauty Salons,-,-,-,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Fabric Stores,Arts & Crafts,Shopping,-,Arts & Crafts Supplies,-,-,-,3.0,4.0,2.0,3.0,4.0,3.0,2.5,3.0,2.5,3.0,3.0,3.5,3.0,2.0,3.0
Face Painting,Event Planning & Services,-,-,Make-up Artists,-,-,-,2.5,4.0,2.5,3.0,3.0,3.0,3.0,3.5,4.0,3.0,3.0,3.0,3.0,3.0,3.0
Fado Houses,Portuguese,Restaurants,-,Portuguese Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Faith-based Crisis Pregnancy Centers,Crisis Pregnancy Centers,Health & Medical,-,Pregnancy Counselling,Therapy & Counselling,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0
Falafel,Mediterranean,Restaurants,-,Mediterranean Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.25
Family Practice,Doctors,Health & Medical,-,Clinics-Medical,Hospitals & Clinics,-,-,3.0,2.5,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
